"Time, s","Climb, m/s","Specific excess power, m/s",RPM,"Propeller efficiency, %","Manifold pressure, atm","Power, hp","Thrust, kgf","Propeller pitch, deg","Propeller pitch, %","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²","Turn rate, deg/s"
0.0,-12.3,-26.6,3000,69,1.82,2012,541,42.8,100,700,701,27,0.57,19223.2,-0.14,1.5
0.1,-12.2,-27.0,3000,69,1.82,2012,542,42.7,100,700,701,26,0.57,19213.4,-0.22,0.0
0.2,-12.2,-27.4,3000,69,1.82,2012,542,42.7,100,700,701,25,0.57,19203.6,-0.29,0.0
0.3,-12.3,-27.7,3000,69,1.82,2012,543,42.7,100,700,701,24,0.57,19193.8,-0.35,0.0
0.4,-12.2,-28.0,3000,69,1.82,2013,543,42.7,100,700,700,23,0.57,19130.0,-0.41,2.0
0.5,-11.8,-28.2,3000,69,1.82,2013,544,42.7,100,699,700,21,0.57,19110.3,-0.46,2.8
0.6,-11.4,-28.4,3000,69,1.82,2013,545,42.7,100,699,700,20,0.57,19100.5,-0.50,2.3
0.7,-11.2,-26.7,3000,69,1.82,2014,545,42.7,100,699,700,19,0.57,19090.7,-0.45,1.8
0.8,-11.2,-25.2,3000,69,1.82,2014,545,42.7,100,699,699,18,0.57,19026.9,-0.41,0.7
0.9,-10.8,-23.8,3000,69,1.82,2014,546,42.7,100,699,699,17,0.57,19017.1,-0.37,4.2
1.0,-9.2,-24.1,3000,69,1.82,2014,548,42.7,100,698,699,16,0.57,19007.3,-0.42,8.6
1.1,-6.9,-24.5,3000,70,1.82,2015,550,42.6,100,698,699,15,0.57,18997.5,-0.47,11.3
1.2,-3.4,-24.8,3000,70,1.82,2015,552,42.6,100,698,698,14,0.57,18933.8,-0.52,12.9
1.3,-0.5,-24.2,3000,70,1.82,2015,553,42.6,100,697,698,14,0.57,18933.8,-0.56,13.0
1.4,4.0,-23.6,3000,70,1.82,2015,554,42.6,100,697,697,14,0.57,18880.0,-0.60,13.4
1.5,8.1,-23.1,2999,70,1.82,2014,555,42.6,100,696,697,15,0.57,18889.8,-0.63,15.3
1.6,12.7,-23.2,2999,70,1.82,2014,556,42.6,100,695,696,16,0.57,18845.9,-0.75,15.6
1.7,16.0,-23.2,2999,70,1.82,2014,556,42.5,100,695,695,17,0.57,18802.0,-0.86,13.8
1.8,19.3,-23.3,2999,70,1.82,2014,557,42.5,100,694,695,19,0.57,18821.6,-0.96,11.3
1.9,22.4,-22.3,2999,70,1.82,2013,558,42.5,100,693,694,21,0.57,18787.6,-1.05,12.1
2.0,26.2,-21.5,2999,70,1.82,2012,560,42.4,100,692,693,24,0.56,18763.6,-1.13,14.5
2.1,30.6,-20.7,2999,71,1.82,2012,563,42.4,100,691,692,27,0.56,18739.6,-1.20,16.1
2.2,34.5,-20.6,2998,71,1.82,2011,564,42.4,100,690,691,30,0.56,18715.6,-1.35,17.4
2.3,40.1,-20.4,2998,71,1.81,2010,567,42.3,100,689,690,33,0.56,18691.8,-1.49,20.3
2.4,46.3,-20.3,2998,71,1.81,2009,568,42.3,100,688,689,38,0.56,18687.6,-1.62,21.5
2.5,52.3,-18.4,2998,71,1.81,2008,569,42.2,100,686,688,43,0.56,18683.6,-1.73,20.1
