"Time, s","Power, hp","Thrust, kgf",RPM,"Throttle, %","Altitude, m","Propeller efficiency, %","Propeller pitch, %","Propeller pitch, deg","Manifold pressure, atm","IAS, km/h","TAS, km/h",Mach number,"Climb, m/s","Acceleration, m/s^2","Pitch angle, deg","AoA, deg","AoS, deg","Turn, s","Turn radius, m","Load factor, g",Supercharger gear,"WEP remain, m:s","Fuel consumption, kg/min","Mass of Fuel, kg","Mixture, %","Radiator, %","Oil radiator, %","Engine temperature, ℃","Oil temperature, ℃","Water temperature, ℃"
0,21,140,701,0,30,0,100,25,0.95,0,0,0,0,0,13.2,-35.6,-17.1,0,0,0.6,0,58:20:00,0.43,220,0,60,0,0,60,82
0.2,163,148,719,28,30,0,100,25,0.97,0,0,0,0,0,13.2,-21.5,-12.4,0,0,0.8,0,58:20:00,0.43,220,0,60,0,0,61,82
0.4,191,177,786,31,30,0,100,25,1.03,0,0,0,0,0,13.2,-9,-7.6,0,0,0.9,0,58:20:00,0.43,220,0,60,0,0,61,82
0.6,196,205,847,59,30,0,100,25,1.2,0,0,0,0,0,13.3,9.9,-4.7,0,0,1,0,58:20:00,0.43,220,0,60,0,0,61,82
0.8,219,234,905,59,30,0,100,25,1.21,0,0,0,0,0,13.3,13.5,-2.8,0,0,1,0,58:20:00,0.65,220,0,60,0,0,61,82
1,200,268,968,93,30,0,100,25,1.33,1,1,0,0,0,13.3,12.7,-1.7,0,0,1,0,58:20:00,0.65,220,0,60,0,0,61,82
1.2,225,294,1015,93,30,0,100,25,1.37,1,1,0,0,0,13.3,12.9,-1.2,0,0,1,0,58:20:00,0.65,220,0,60,0,0,61,82
1.4,323,336,1085,110,30,0,100,25,1.97,1,1,0,0,0,13.3,12.9,-0.9,0,0,1,0,58:20:00,0.65,220,0,60,0,0,61,82
1.6,364,381,1154,110,30,1,100,25,2,1,1,0,0,0,13.3,12.9,-0.7,0,0,1,0,58:20:00,0.65,220,0,60,0,0,61,82
1.8,415,441,1242,110,30,1,100,25,2.02,2,2,0,0,0.55,13.3,13,-0.5,0,0,1,0,58:20:00,1.19,220,0,60,0,0,61,82
2,457,495,1315,110,30,1,100,25,2.02,2,2,0,0,0.55,13.3,13,-0.5,0,0,1,0,58:20:00,1.19,220,0,60,0,0,61,82
2.2,495,556,1394,110,30,1,100,25,1.84,3,3,0,0,0.55,13.2,12.9,-0.4,0,0,1,0,58:19:00,1.19,220,0,60,0,0,61,82
2.4,568,617,1468,110,30,1,100,25,1.94,4,4,0,0,0.55,13.2,12.9,-0.4,0,0,1,0,58:19:00,1.19,220,0,60,0,0,61,82
2.6,635,684,1547,110,30,2,100,25,2,4,4,0,0,0.55,13.2,12.8,-0.4,0,0,1,0,58:19:00,1.19,220,0,60,0,0,61,82
2.8,725,773,1643,110,30,2,100,25,1.45,5,5,0,0,0.83,13.2,12.9,-0.3,0,0,1,0,58:19:00,2.07,220,0,60,0,0,61,82
3,841,857,1730,110,30,2,100,25,1.54,6,6,0.01,0,0.83,13.3,13,-0.2,0,0,1,0,58:19:00,2.07,220,0,60,0,0,61,82
3.2,1000,966,1837,110,30,3,100,25,1.66,8,8,0.01,0,0.83,13.3,13.2,-0.1,0,0,1,0,58:18:00,2.07,220,0,60,0,0,61,82
3.4,1198,1094,1956,110,30,3,100,25,1.81,9,9,0.01,0,0.83,13.3,13.2,0,0,0,1,0,58:18:00,2.07,220,0,60,0,0,61,82
3.6,1413,1231,2075,110,30,3,100,25,1.95,10,11,0.01,0,0.83,13.3,12.9,0,0,0,1,0,58:18:00,2.07,220,0,60,0,0,61,82
3.8,1611,1403,2217,110,30,4,100,25,2.04,12,12,0.01,0,1.65,13.3,12.8,0.1,0,0,1,0,58:18:00,3.96,220,0,60,0,0,61,82
4,1739,1564,2343,110,30,5,100,25,2.07,14,14,0.01,0,1.65,13.3,12.9,0,0,0,1,0,58:18:00,3.96,220,0,60,0,0,61,83
4.2,1838,1756,2472,110,30,6,100,25.5,2.07,17,17,0.01,0,1.65,13.3,13.1,-0.1,0,0,1,0,58:17:00,3.96,220,0,60,0,0,61,83
4.4,1896,1939,2583,110,30,7,100,26.4,2.05,19,19,0.02,0,1.65,13.4,13.3,-0.1,0,0,1,0,58:17:00,3.96,220,0,60,0,0,61,83
4.6,1925,2069,2665,110,30,9,100,26.6,2.03,22,22,0.02,0,1.65,13.4,13.2,-0.1,0,0,1,0,58:17:00,3.96,220,0,60,0,0,61,83
4.8,1944,2185,2742,110,30,10,100,26.4,2.01,25,25,0.02,0,3.6,13.4,12.9,-0.2,0,0,0.9,0,58:17:00,7.64,220,0,60,0,0,62,83
5,1957,2278,2807,110,30,12,100,26,2,28,28,0.02,0,3.6,13.4,13.4,-0.1,0,0,1,0,58:17:00,7.64,220,0,60,0,0,62,83
5.2,1900,2342,2862,110,30,14,100,25.5,1.83,31,31,0.03,0,3.6,13.4,13,-0.1,0,0,1,0,58:16:00,7.64,220,0,60,0,0,62,83
5.4,1956,2373,2909,110,30,15,100,25,1.88,35,35,0.03,0,3.6,13.4,13.4,-0.1,0,0,1,0,58:16:00,7.64,220,0,60,0,0,62,83
5.6,2006,2452,2953,110,30,17,100,25.2,1.92,38,38,0.03,0,3.6,13.4,13.2,-0.1,0,0,1,0,58:16:00,7.64,220,0,60,0,0,62,83
5.8,2031,2511,2988,110,30,19,100,25.3,1.94,41,41,0.03,0,4.39,13.4,13.2,-0.1,0,0,1,0,58:16:00,7.64,220,0,60,0,0,62,83
6,2043,2547,3017,110,30,20,100,25.2,1.95,45,45,0.04,0,4.39,13.3,13.2,0,0,0,0.9,0,58:16:00,7.64,220,0,60,0,0,62,84
6.2,2049,2575,3046,110,30,22,100,25.1,1.95,48,48,0.04,0,4.39,13.4,13.3,0,0,0,1,0,58:15:00,7.64,220,0,60,0,0,63,84
6.4,2052,2601,3070,110,30,24,100,25,1.94,52,52,0.04,0,4.39,13.4,13.3,0,0,0,0.9,0,58:15:00,7.64,220,0,60,0,0,63,84
6.6,2052,2626,3090,110,30,26,100,25,1.94,56,56,0.05,0,4.39,13.4,13.2,0,0,0,1,0,58:15:00,7.64,220,0,60,0,0,63,84
6.8,2052,2641,3105,110,30,28,100,25,1.94,59,59,0.05,0,4.97,13.4,13.3,0,0,0,1,0,58:15:00,7.96,220,0,60,0,0,63,84
7,2051,2652,3117,110,30,30,100,25,1.93,63,63,0.05,0,4.97,13.4,13.3,0,0,0,1,0,58:15:00,7.96,220,0,60,0,0,63,84
7.2,2050,2658,3126,110,30,32,100,25,1.93,67,67,0.05,0,4.97,13.4,13.4,0,0,0,1,0,58:14:00,7.96,220,0,60,0,0,63,84
7.4,2049,2658,3133,110,30,33,100,25,1.93,70,70,0.06,0,4.97,13.4,13.3,0,0,0,1,0,58:14:00,7.96,220,0,60,0,0,63,84
7.6,2048,2656,3138,110,30,35,100,25,1.93,74,74,0.06,0,4.97,13.4,13.4,0,0,0,1,0,58:14:00,7.96,220,0,60,0,0,63,84
7.8,2047,2650,3141,110,30,37,100,25,1.92,77,77,0.06,0,4.96,13.4,13.3,0,0,0,0.9,0,58:14:00,7.96,220,0,60,0,0,64,85
8,2046,2643,3144,110,30,38,100,25,1.92,81,81,0.07,0,4.96,13.4,13.4,0,0,0,1.1,0,58:14:00,7.96,220,0,60,0,0,64,85
8.2,2046,2635,3145,110,30,40,100,25,1.92,84,84,0.07,0,4.96,13.4,13.3,0,0,0,1,0,58:13:00,7.96,220,0,60,0,0,64,85
8.4,2045,2624,3146,110,30,41,100,25,1.92,88,88,0.07,0,4.96,13.4,13.4,0,0,0,1,0,58:13:00,7.96,220,0,60,0,0,64,85
8.6,2045,2612,3146,110,30,43,100,25,1.92,91,92,0.07,0,4.96,13.5,13.4,0,0,0,1,0,58:13:00,7.96,220,0,60,0,0,64,85
8.8,2044,2596,3145,110,30,44,100,25,1.92,95,95,0.08,0,4.7,13.4,13.3,0,0,0,0.9,0,58:13:00,7.96,220,0,60,0,0,64,85
9,2044,2580,3144,110,30,46,100,25,1.92,99,99,0.08,0,4.7,13.5,13.5,0,0,0,1,0,58:13:00,7.96,220,0,60,0,0,64,85
9.2,2043,2563,3143,110,30,47,100,25,1.92,102,102,0.08,0,4.7,13.5,13.4,0,0,0,0.9,0,58:12:00,7.96,220,0,60,0,0,64,85
9.4,2043,2547,3141,110,30,48,100,25,1.92,105,105,0.09,0,4.7,13.5,13.4,0,0,0,0.9,0,58:12:00,7.96,220,0,60,0,0,65,85
9.6,2043,2527,3140,110,30,49,100,25,1.92,109,109,0.09,0,4.7,13.4,13.4,0.1,0,0,0.9,0,58:12:00,7.96,219,0,60,0,0,65,85
9.8,2042,2508,3138,110,30,50,100,25,1.92,112,112,0.09,0,4.7,13.4,13.4,0.2,0,0,1,0,58:12:00,7.96,219,0,60,0,0,65,85
10,2042,2488,3137,110,30,51,100,25,1.92,115,115,0.09,0,4.7,13.5,13.5,0.2,0,0,1,0,58:12:00,7.96,219,0,60,0,0,65,86
10.2,2042,2472,3136,110,30,52,100,25,1.92,118,118,0.1,0,4.7,13.5,13.4,0.2,0,0,1,0,58:11:00,7.96,219,0,60,0,0,65,86
10.4,2042,2449,3134,110,30,53,100,25,1.92,122,122,0.1,0,4.7,13.5,13.5,0.1,0,0,0.9,0,58:11:00,7.96,219,0,60,0,0,65,86
10.6,2042,2431,3134,110,30,54,100,25,1.92,125,125,0.1,0,4.7,13.5,13.4,0.1,0,0,1,0,58:11:00,7.96,219,0,60,0,0,65,86
10.8,2042,2411,3133,110,30,55,100,25,1.92,128,128,0.1,0,4.42,13.5,13.5,0.2,0,0,1,0,58:11:00,7.96,219,0,60,0,0,65,86
11,2042,2392,3132,110,30,56,100,25,1.92,131,131,0.11,0,4.42,13.5,13.4,0.1,0,0,0.9,0,58:11:00,7.96,219,0,60,0,0,66,86
11.2,2042,2375,3132,110,30,57,100,25,1.92,134,134,0.11,0,4.42,13.5,13.5,0.1,0,0,0.9,0,58:10:00,7.96,219,0,60,0,0,66,86
11.4,2043,2354,3133,110,30,58,100,25,1.92,137,137,0.11,0,4.42,13.5,13.4,0.1,0,0,0.9,0,58:10:00,7.96,219,0,60,0,0,66,86
11.6,2043,2337,3133,110,30,58,100,25,1.92,140,140,0.11,0,4.42,13.5,13.4,0.1,0,0,1,0,58:10:00,7.96,219,0,60,0,0,66,86
11.8,2043,2318,3133,110,30,59,100,25,1.92,143,143,0.12,0,4.14,13.4,13.3,0.1,0,0,1,0,58:10:00,7.96,219,0,60,0,0,66,86
12,2043,2300,3134,110,30,60,100,25,1.92,145,146,0.12,0,4.14,13.2,13.1,0,0,0,1,0,58:10:00,7.96,219,0,60,0,0,66,87
12.2,2044,2281,3136,110,30,61,100,25,1.92,148,148,0.12,0,4.14,13,12.9,0,0,0,0.9,0,58:09:00,7.96,219,0,60,0,0,66,87
12.4,2044,2260,3137,110,30,61,100,25,1.92,151,151,0.12,0.1,4.14,12.7,12.5,0,0,0,1,0,58:09:00,7.96,219,0,60,0,0,66,87
12.6,2045,2246,3139,110,30,62,100,25,1.92,154,154,0.13,0,4.14,12.5,12.4,-0.1,0,0,1,0,58:09:00,7.96,219,0,60,0,0,66,87
12.8,2045,2225,3141,110,30,62,100,25,1.92,157,157,0.13,0,3.85,12.3,12.2,-0.1,0,0,1,0,58:09:00,7.96,219,0,60,0,0,67,87
13,2046,2212,3143,110,30,63,100,25,1.92,159,159,0.13,0,3.85,12.2,12.1,-0.1,0,0,0.9,0,58:09:00,7.96,219,0,60,0,0,67,87
13.2,2046,2193,3146,110,30,64,100,25,1.92,162,163,0.13,0,3.85,12.1,12,-0.1,0,0,1,0,58:08:00,7.96,219,0,60,0,0,67,87
13.4,2046,2178,3148,110,30,64,100,25,1.92,165,165,0.13,0,3.85,11.9,11.8,-0.2,0,0,1,0,58:08:00,7.96,219,0,60,0,0,67,87
13.6,2047,2164,3151,110,30,65,100,25,1.92,167,168,0.14,0.1,3.85,11.9,11.8,-0.1,0,0,1,0,58:08:00,7.96,219,0,60,0,0,67,87
13.8,2047,2149,3154,110,30,65,100,25,1.92,170,170,0.14,0.1,3.88,11.9,11.7,-0.1,0,0,1,0,58:08:00,7.96,219,0,60,0,0,67,87
14,2047,2136,3156,110,30,66,100,25,1.92,172,173,0.14,0.2,3.88,11.9,11.7,-0.1,0,0,1,0,58:08:00,7.96,219,0,60,0,0,67,87
14.2,2048,2120,3160,110,30,66,100,25,1.92,175,176,0.14,0.4,3.88,12.1,11.6,-0.1,0,0,1.1,0,58:07:00,7.96,219,0,60,0,0,67,88
14.4,2048,2108,3162,110,30,67,100,25,1.92,178,178,0.14,0.6,3.88,12.3,11.6,-0.1,0,0,1.1,0,58:07:00,7.96,219,0,60,0,0,67,88
14.6,2048,2095,3165,110,30,67,100,25,1.92,180,180,0.15,0.9,3.88,12.5,11.6,-0.1,0,0,1.1,0,58:07:00,7.96,219,0,60,0,0,68,88
14.8,2049,2082,3169,110,30,68,100,25,1.92,183,183,0.15,1.2,3.31,12.8,11.6,-0.1,0,0,1.1,0,58:07:00,7.96,219,0,60,0,0,68,88
15,2049,2071,3172,110,31,68,100,25,1.92,185,185,0.15,1.5,3.31,13.1,11.5,-0.1,0,0,1.1,0,58:07:00,7.96,219,0,60,0,0,68,88
15.2,2049,2059,3175,110,31,69,100,25,1.92,187,187,0.15,1.8,3.31,13.4,11.5,-0.1,0,0,1.1,0,58:06:00,7.96,219,0,60,0,0,68,88
15.4,2050,2049,3178,110,31,69,100,25,1.92,189,189,0.15,2.2,3.31,13.8,11.5,-0.1,0,0,1.2,0,58:06:00,7.96,219,0,60,0,0,68,88
15.6,2050,2034,3181,110,32,69,100,25,1.92,191,192,0.16,2.6,3.31,14,11.3,-0.1,0,0,1.1,0,58:06:00,7.96,219,0,60,0,0,68,88
15.8,2050,2023,3184,110,32,70,100,25,1.92,193,194,0.16,2.9,3.3,14.2,11.2,0.1,0,0,1.1,0,58:06:00,8.3,219,0,60,0,0,68,88
16,2050,2015,3188,110,33,70,100,25,1.92,195,196,0.16,3.3,3.3,14.6,11.3,0.1,0,0,1.2,0,58:06:00,8.3,219,0,60,0,0,68,88
16.2,2051,2004,3191,110,34,70,100,25,1.92,197,197,0.16,3.7,3.3,14.8,11,0.1,0,0,1.2,0,58:05:00,8.3,219,0,60,0,0,69,88
16.4,2051,1991,3194,110,34,71,100,25,1.92,199,199,0.16,4.1,3.3,14.7,10.5,0.1,0,0,1.2,0,58:05:00,8.3,219,0,60,0,0,69,88
16.6,2052,1973,3199,110,35,71,100,25,1.92,201,201,0.16,4.5,3.3,14.4,9.7,0.3,0,0,1.1,0,58:05:00,8.3,219,0,60,0,0,69,89
16.8,2052,1960,3203,110,36,71,100,25,1.92,203,203,0.17,4.8,2.49,14,9.1,0.2,0,0,1.1,0,58:05:00,8.02,219,0,60,0,0,69,89
17,2053,1946,3208,110,37,71,100,25,1.92,204,205,0.17,5,2.49,13.5,8.4,0.1,0,0,1,0,58:05:00,8.02,218,0,60,0,0,69,89
17.2,2053,1939,3214,110,38,71,100,25.1,1.92,206,207,0.17,5.1,2.49,13,7.9,0.1,0,0,1,0,58:04:00,8.02,218,0,60,0,0,69,89
17.4,2053,1935,3218,110,39,72,100,25.1,1.92,208,208,0.17,5.2,2.49,13,7.8,0,0,0,1,0,58:04:00,8.02,218,0,60,0,0,69,89
17.6,2053,1929,3222,110,40,72,100,25.1,1.92,210,210,0.17,5.3,2.49,13,7.7,0,0,0,1,0,58:04:00,8.02,218,0,60,0,0,69,89
17.8,2052,1924,3225,110,41,72,100,25.1,1.92,211,212,0.17,5.5,2.48,13,7.6,-0.1,0,0,1,0,58:04:00,7.82,218,0,60,0,0,69,89
18,2052,1917,3228,110,43,73,100,25.2,1.92,213,214,0.17,5.7,2.48,13,7.5,-0.1,0,0,1,0,58:04:00,7.82,218,0,60,0,0,70,89
18.2,2052,1911,3231,110,44,73,100,25.2,1.92,215,215,0.18,5.8,2.48,13,7.4,-0.1,0,0,1.1,0,58:03:00,7.82,218,0,60,0,0,70,89
18.4,2052,1906,3233,110,45,74,100,25.2,1.92,216,217,0.18,6,2.48,13,7.3,-0.2,0,0,1.1,0,58:03:00,7.82,218,0,60,0,0,70,89
18.6,2052,1899,3235,110,46,74,100,25.3,1.92,218,218,0.18,6.2,2.48,13,7.2,-0.2,0,0,1.1,0,58:03:00,7.82,218,0,60,0,0,70,89
18.8,2051,1893,3237,110,47,74,100,25.3,1.92,219,220,0.18,6.4,2.2,13.1,7.1,-0.2,0,0,1.1,0,58:03:00,8.14,218,0,60,0,0,70,89
19,2051,1886,3239,110,49,74,100,25.3,1.92,221,222,0.18,6.6,2.2,13.1,6.9,-0.2,0,0,1.1,0,58:03:00,8.14,218,0,60,0,0,70,90
19.2,2051,1879,3240,110,50,75,100,25.4,1.92,223,223,0.18,6.8,2.2,13.1,6.8,-0.3,0,0,1.1,0,58:02:00,8.14,218,0,60,0,0,70,90
19.4,2051,1872,3242,110,52,75,100,25.4,1.92,224,225,0.18,7,2.2,13.1,6.7,-0.3,0,0,1.1,0,58:02:00,8.14,218,0,60,0,0,70,90
19.6,2051,1866,3243,110,53,75,100,25.5,1.92,226,226,0.18,7.2,2.2,13.1,6.5,-0.2,0,0,1.1,0,58:02:00,8.14,218,0,60,0,0,70,90
19.8,2051,1859,3244,110,54,75,100,25.5,1.92,227,228,0.19,7.4,2.21,13.1,6.4,-0.2,0,0,1.1,0,58:02:00,8.14,218,0,60,0,0,70,90
20,2051,1852,3245,110,56,76,100,25.6,1.92,229,229,0.19,7.6,2.21,13.1,6.2,-0.2,0,0,1.1,0,58:02:00,8.14,218,0,60,0,0,71,90
20.2,2051,1846,3245,110,57,76,100,25.6,1.92,230,231,0.19,7.8,2.21,13.1,6.1,-0.2,0,0,1.1,0,58:01:00,8.14,218,0,60,0,0,71,90
20.4,2051,1839,3246,110,59,76,100,25.6,1.92,231,232,0.19,8,2.21,13.1,6,-0.2,0,0,1.1,0,58:01:00,8.14,218,0,60,0,0,71,90
20.6,2050,1833,3247,110,61,76,100,25.7,1.92,233,234,0.19,8.2,2.21,13.1,5.8,-0.2,0,0,1,0,58:01:00,8.14,218,0,60,0,0,71,90
20.8,2050,1827,3247,110,62,76,100,25.7,1.92,234,235,0.19,8.3,1.93,13.1,5.7,-0.1,0,0,1,0,58:01:00,8.14,218,0,60,0,0,71,90
21,2050,1820,3248,110,64,77,100,25.8,1.92,236,236,0.19,8.5,1.93,13.1,5.6,-0.1,0,0,1,0,58:01:00,8.14,218,0,60,0,0,71,90
21.2,2050,1814,3248,110,66,77,100,25.8,1.92,237,238,0.19,8.7,1.93,13,5.5,-0.1,0,0,1,0,58:00:00,8.14,218,0,60,0,0,71,90
21.4,2050,1808,3248,110,67,77,100,25.9,1.92,238,239,0.19,8.9,1.93,13,5.3,-0.1,0,0,1,0,58:00:00,8.14,218,0,60,0,0,71,91
21.6,2050,1802,3249,110,69,77,100,25.9,1.92,239,240,0.2,9,1.93,13,5.2,-0.1,0,0,1,0,58:00:00,8.14,218,0,60,0,0,71,91
21.8,2050,1795,3249,110,71,77,100,26,1.92,241,242,0.2,9.2,1.93,13,5.1,0,0,0,1,0,58:00:00,8.14,218,0,60,0,0,72,91
22,2050,1790,3249,110,73,77,100,26,1.92,242,243,0.2,9.3,1.93,13,5,0,0,0,1,0,58:00:00,8.14,218,0,60,0,0,72,91
22.2,2050,1784,3250,110,75,78,100,26,1.92,243,244,0.2,9.5,1.93,12.9,4.9,0,0,0,1,0,57:59:00,8.14,218,0,60,0,0,72,91
22.4,2050,1778,3250,110,77,78,100,26.1,1.92,245,245,0.2,9.6,1.93,12.9,4.8,0,0,0,1,0,57:59:00,8.14,218,0,60,0,0,72,91
22.6,2050,1773,3250,110,79,78,100,26.1,1.92,246,247,0.2,9.7,1.93,12.9,4.8,0,0,0,1,0,57:59:00,8.14,218,0,60,0,0,72,91
22.8,2050,1767,3250,110,81,78,100,26.2,1.92,247,248,0.2,9.9,1.65,12.9,4.7,0,0,0,1,0,57:59:00,8.14,218,0,60,0,0,72,91
23,2050,1761,3250,110,83,78,100,26.2,1.92,248,249,0.2,10,1.65,12.9,4.6,0,0,0,1,0,57:59:00,8.14,218,0,60,0,0,72,91
23.2,2050,1756,3250,110,85,78,100,26.2,1.92,249,250,0.2,10.2,1.65,12.9,4.5,0,0,0,1,0,57:58:00,8.14,218,0,60,0,0,72,91
23.4,2050,1751,3250,110,87,78,100,26.3,1.92,250,251,0.2,10.3,1.65,13,4.5,0,0,0,1,0,57:58:00,8.14,218,0,60,0,0,72,91
23.6,2050,1746,3251,110,89,79,100,26.3,1.92,251,252,0.21,10.5,1.65,13,4.4,0,0,0,1,0,57:58:00,8.14,218,0,60,0,0,72,91
23.8,2050,1740,3251,110,91,79,100,26.4,1.92,253,254,0.21,10.6,1.66,13,4.3,0,0,0,1,0,57:58:00,8.14,218,0,60,0,0,73,91
24,2050,1736,3251,110,93,79,100,26.4,1.92,254,255,0.21,10.7,1.66,13,4.3,0,0,0,1,0,57:58:00,8.14,218,0,60,0,0,73,92
24.2,2050,1731,3251,110,95,79,100,26.4,1.92,255,256,0.21,10.9,1.66,13,4.2,0,0,0,1,0,57:57:00,8.14,218,0,60,0,0,73,92
24.4,2050,1726,3251,110,98,79,100,26.5,1.92,256,257,0.21,11,1.66,13.1,4.2,0,0,0,1,0,57:57:00,8.14,217,0,60,0,0,73,92
24.6,2050,1721,3251,110,100,79,100,26.5,1.92,257,258,0.21,11.2,1.66,13.1,4.1,-0.1,0,0,1,0,57:57:00,8.14,217,0,60,0,0,73,92
24.8,2050,1716,3251,110,102,79,100,26.6,1.92,258,259,0.21,11.3,1.66,13.1,4,-0.1,0,0,1,0,57:57:00,8.14,217,0,60,0,0,73,92
25,2050,1712,3251,110,104,79,100,26.6,1.92,259,260,0.21,11.5,1.66,13.1,4,-0.1,0,0,1,0,57:57:00,8.14,217,0,60,0,0,73,92
25.2,2050,1707,3251,110,107,79,100,26.6,1.92,260,261,0.21,11.6,1.66,13.1,3.9,-0.1,0,0,1,0,57:56:00,8.14,217,0,60,0,0,73,92
25.4,2050,1703,3251,110,109,80,100,26.7,1.92,261,262,0.21,11.7,1.66,13.1,3.8,-0.1,0,0,1,0,57:56:00,8.14,217,0,60,0,0,73,92
25.6,2050,1699,3251,110,111,80,100,26.7,1.92,262,263,0.21,11.8,1.66,13.1,3.8,-0.1,0,0,1,0,57:56:00,8.14,217,0,60,0,0,73,92
25.8,2050,1694,3251,110,114,80,100,26.7,1.92,263,264,0.22,12,1.38,13.1,3.7,-0.1,0,0,1,0,57:56:00,8.14,217,0,60,0,0,74,92
26,2050,1690,3251,110,116,80,100,26.8,1.92,263,265,0.22,12.1,1.38,13.1,3.6,-0.1,0,0,1,0,57:56:00,8.14,217,0,60,0,0,74,92
26.2,2050,1686,3251,110,119,80,100,26.8,1.92,265,266,0.22,12.2,1.38,13,3.6,-0.1,0,0,1,0,57:55:00,8.14,217,0,60,0,0,74,92
26.4,2050,1682,3251,110,121,80,100,26.9,1.92,265,267,0.22,12.3,1.38,13,3.5,-0.1,0,0,1,0,57:55:00,8.14,217,0,60,0,0,74,92
26.6,2050,1678,3251,110,124,80,100,26.9,1.92,266,268,0.22,12.4,1.38,13,3.4,-0.1,0,0,1,0,57:55:00,8.14,217,0,60,0,0,74,93
26.8,2050,1675,3251,110,126,80,100,26.9,1.92,267,269,0.22,12.5,1.1,13.2,3.6,-0.1,0,0,1,0,57:55:00,7.81,217,0,60,0,0,74,93
27,2050,1671,3251,110,129,80,100,26.9,1.92,268,270,0.22,12.7,1.1,13.4,3.7,-0.1,0,0,1.1,0,57:55:00,7.81,217,0,60,0,0,74,93
27.2,2050,1666,3251,110,131,80,100,27,1.92,269,270,0.22,12.9,1.1,13.4,3.5,0,0,0,1,0,57:54:00,7.81,217,0,60,0,0,74,93
27.5,2050,1663,3251,110,134,80,100,27,1.92,270,271,0.22,13,1.1,13.4,3.5,0,0,0,1,0,57:54:00,7.81,217,0,60,0,0,74,93
27.7,2050,1659,3251,110,137,80,100,27,1.92,270,272,0.22,13.1,1.1,13.4,3.4,0,0,0,1,0,57:54:00,7.81,217,0,60,0,0,74,93
27.9,2050,1656,3251,110,139,81,100,27.1,1.92,271,273,0.22,13.3,1.38,13.4,3.3,0,0,0,1,0,57:54:00,8.13,217,0,60,0,0,75,93
28.1,2050,1652,3251,110,142,81,100,27.1,1.92,272,274,0.22,13.4,1.38,13.4,3.3,0,0,0,1,0,57:54:00,8.13,217,0,60,0,0,75,93
28.3,2050,1650,3251,110,145,81,100,27.1,1.92,273,275,0.22,13.5,1.38,13.7,3.6,0,0,0,1.1,0,57:53:00,8.13,217,0,60,0,0,75,93
28.5,2050,1647,3251,110,147,81,100,27.1,1.92,273,275,0.22,13.8,1.38,14.1,3.8,0.1,0,0,1.1,0,57:53:00,8.13,217,0,60,0,0,75,93
28.7,2050,1644,3251,110,150,81,100,27.2,1.92,274,276,0.23,14.1,1.38,14.3,3.8,0.1,0,0,1.1,0,57:53:00,8.13,217,0,60,0,0,75,93
28.9,2050,1641,3251,110,153,81,100,27.2,1.92,275,277,0.23,14.4,0.83,14.6,3.9,0.1,0,0,1.1,0,57:53:00,7.83,217,0,60,0,0,75,93
29.1,2050,1639,3251,110,156,81,100,27.2,1.92,275,277,0.23,14.8,0.83,15.1,4.2,0.1,0,0,1.2,0,57:53:00,7.83,217,0,60,0,0,75,93
29.3,2050,1638,3251,110,159,81,100,27.2,1.92,276,278,0.23,15.2,0.83,15.6,4.4,0.1,0,0,1.2,0,57:52:00,7.83,217,0,60,0,0,75,93
29.5,2050,1636,3251,110,162,81,100,27.2,1.92,276,278,0.23,15.9,0.83,16.4,4.8,0.1,0,0,1.3,0,57:52:00,7.83,217,0,60,0,0,75,94
29.7,2050,1635,3250,110,165,81,100,27.2,1.92,277,279,0.23,16.5,0.83,17.3,5.2,0.1,0,0,1.4,0,57:52:00,7.83,217,0,60,0,0,75,94
29.9,2050,1633,3250,110,169,81,100,27.2,1.92,277,279,0.23,17.4,0.83,18,5.2,0.1,0,0,1.4,0,57:52:00,8.31,217,0,60,0,0,75,94
30.1,2050,1631,3250,110,172,81,100,27.2,1.92,277,279,0.23,18.1,0.83,18.3,4.9,0.1,0,0,1.3,0,57:52:00,8.31,217,0,60,0,0,76,94
30.3,2050,1629,3251,110,176,81,100,27.3,1.92,277,280,0.23,18.7,0.83,18.3,4.5,0,0,0,1.2,0,57:51:00,8.31,217,0,60,0,0,76,94
30.5,2050,1628,3251,110,180,81,100,27.3,1.92,278,280,0.23,19.3,0.83,18.5,4.2,0,0,0,1.2,0,57:51:00,8.31,217,0,60,0,0,76,94
30.7,2050,1627,3251,110,183,81,100,27.3,1.92,278,280,0.23,19.6,0.83,18.6,4,0,0,0,1.2,0,57:51:00,8.31,217,0,60,0,0,76,94
30.9,2050,1626,3251,110,188,81,100,27.3,1.92,278,280,0.23,20,0.28,18.6,3.7,0,0,0,1.1,0,57:51:00,7.97,217,0,60,0,0,76,94
31.1,2050,1625,3251,110,192,81,100,27.4,1.92,278,280,0.23,20.4,0.28,18.7,3.5,0,0,0,1.1,0,57:50:00,7.97,217,0,60,0,0,76,94
31.3,2050,1624,3251,110,196,81,100,27.4,1.92,278,280,0.23,20.6,0.28,18.7,3.3,0,0,0,1.1,0,57:50:00,7.97,217,0,60,0,0,76,94
31.5,2050,1623,3251,110,200,81,100,27.4,1.92,278,281,0.23,20.8,0.28,18.7,3.2,-0.1,0,0,1.1,0,57:50:00,7.97,217,0,60,0,0,76,94
31.7,2050,1623,3251,110,204,81,100,27.4,1.92,278,281,0.23,21,0.28,18.7,3.1,-0.1,0,0,1,0,57:50:00,7.97,217,0,60,0,0,76,94
