"Time, s","Altitude, m","IAS, km/h","TAS, km/h","Propeller efficiency, %[1]","Propeller efficiency, %[2]","Propeller pitch, deg[1]","Propeller pitch, deg[2]","Propeller pitch, %[1]","Propeller pitch, %[2]",RPM[1],RPM[2],"Power, hp[1]","Power, hp[2]","Thrust, kgf[1]","Thrust, kgf[2]","Pitch angle, deg","AoA, deg","Specific excess power, m/s","Acceleration, m/s²","Climb, m/s",Mach number,"Manifold pressure, atm[1]","Manifold pressure, atm[2]"
0.0,157,246,248,82,82,28.1,28.1,100,100,2840,2840,1124,1124,1016,1015,25.3,6.3,19.7,-0.44,22.5,0.20,1.60,1.60
0.1,159,245,247,81,81,28.0,28.0,100,100,2838,2838,1124,1124,1006,1005,25.3,6.2,19.3,-0.48,22.6,0.20,1.60,1.60
0.2,161,245,247,80,80,27.9,27.9,100,100,2837,2838,1125,1125,996,996,25.3,6.1,19.0,-0.52,22.7,0.20,1.61,1.61
0.3,164,244,246,79,79,27.8,27.8,100,100,2838,2838,1126,1126,987,987,25.3,6.0,19.0,-0.56,22.7,0.20,1.61,1.61
0.4,166,243,245,78,78,27.6,27.6,100,100,2839,2840,1127,1127,980,980,25.3,5.9,18.5,-0.61,22.8,0.20,1.61,1.61
0.5,167,243,245,78,78,27.6,27.6,100,100,2841,2841,1128,1128,977,977,25.3,5.9,18.5,-0.65,22.8,0.20,1.61,1.61
0.6,171,242,244,77,77,27.5,27.5,100,100,2844,2844,1129,1130,973,974,25.3,5.8,18.0,-0.69,22.8,0.20,1.61,1.61
0.7,173,242,244,77,77,27.4,27.4,100,100,2847,2847,1131,1131,975,976,25.3,5.7,18.0,-0.74,22.8,0.20,1.61,1.61
0.8,175,241,243,77,77,27.4,27.4,100,100,2850,2850,1131,1131,978,979,25.3,5.7,17.5,-0.77,22.8,0.20,1.61,1.61
0.9,177,241,243,77,78,27.4,27.4,100,100,2852,2852,1132,1132,984,985,25.3,5.7,17.5,-0.82,22.8,0.20,1.61,1.61
1.0,179,240,242,78,78,27.4,27.4,100,100,2854,2854,1132,1132,991,992,25.3,5.7,16.9,-0.85,22.8,0.20,1.61,1.61
1.1,182,240,242,78,78,27.4,27.4,100,100,2856,2856,1133,1132,1001,1002,25.3,5.6,16.7,-0.89,22.7,0.20,1.61,1.61
1.2,184,239,241,79,79,27.5,27.5,100,100,2857,2857,1132,1132,1011,1012,25.4,5.6,16.4,-0.92,22.7,0.20,1.61,1.61
1.3,186,239,241,80,80,27.5,27.5,100,100,2857,2857,1132,1132,1022,1022,25.4,5.6,16.2,-0.95,22.7,0.20,1.61,1.61
1.4,189,238,240,80,80,27.6,27.6,100,100,2856,2856,1131,1131,1033,1033,25.4,5.6,15.9,-0.99,22.6,0.20,1.61,1.61
1.5,191,238,240,81,81,27.6,27.6,100,100,2855,2855,1131,1131,1039,1039,25.4,5.6,15.9,-0.99,22.6,0.20,1.61,1.61
1.6,193,237,239,81,81,27.7,27.7,100,100,2854,2854,1130,1130,1044,1044,25.4,5.6,15.7,-1.02,22.6,0.20,1.61,1.61
1.7,195,237,239,81,81,27.7,27.7,100,100,2852,2851,1129,1129,1048,1047,25.4,5.6,15.5,-1.04,22.5,0.20,1.61,1.61
1.8,198,236,238,81,81,27.7,27.7,100,100,2849,2849,1129,1129,1049,1049,25.4,5.6,15.5,-1.02,22.5,0.20,1.61,1.61
1.9,201,236,238,81,81,27.7,27.7,100,100,2847,2846,1128,1128,1048,1047,25.4,5.6,15.4,-1.04,22.4,0.19,1.61,1.61
2.0,202,235,237,81,81,27.6,27.6,100,100,2845,2845,1128,1128,1045,1045,25.4,5.6,15.2,-1.07,22.4,0.19,1.61,1.61
2.1,205,235,237,80,80,27.6,27.6,100,100,2843,2843,1128,1128,1041,1041,25.4,5.7,14.9,-1.10,22.3,0.19,1.61,1.61
2.2,207,234,236,80,80,27.5,27.5,100,100,2842,2842,1128,1128,1036,1035,25.4,5.7,14.9,-1.12,22.3,0.19,1.61,1.61
