"Time, s","Climb, m/s","Specific excess power, m/s","Critical Flaps Speed, %","Propeller efficiency, %","Manifold pressure, atm",Supercharger gear,RPM,"Power, hp","Thrust, kgf","Propeller pitch, deg","Propeller pitch, %","IAS, km/h","TAS, km/h","Altitude, m",Mach number,"Specific energy, J/kg","Acceleration, m/s²"
0.0,27.0,20.4,0,81,1.81,1,2854,1262,1211,29.7,90,227,230,253,0.19,4521.6,-1.07
0.1,26.9,20.5,0,81,1.81,1,2853,1262,1212,29.7,90,227,230,256,0.19,4549.2,-1.06
0.2,26.9,19.9,0,81,1.81,1,2853,1262,1213,29.7,90,227,229,258,0.19,4553.5,-1.14
0.3,26.8,19.4,0,81,1.81,1,2852,1262,1215,29.7,90,226,229,261,0.19,4586.4,-1.21
0.4,26.7,19.0,0,80,1.81,1,2852,1262,1216,29.7,90,226,229,264,0.19,4608.3,-1.27
0.5,26.7,19.2,0,80,1.81,1,2852,1263,1217,29.7,90,225,228,266,0.19,4618.0,-1.23
0.6,26.6,19.3,0,80,1.81,1,2852,1263,1219,29.7,90,225,228,269,0.19,4645.2,-1.20
0.7,26.5,19.5,0,80,1.81,1,2851,1263,1220,29.7,90,224,227,271,0.19,4649.3,-1.17
0.8,26.5,19.6,0,80,1.81,1,2851,1263,1221,29.6,90,224,227,274,0.19,4676.4,-1.15
0.9,26.4,19.7,0,80,1.81,1,2851,1263,1223,29.6,90,224,227,277,0.19,4703.4,-1.13
1.0,26.3,19.7,0,80,1.81,1,2851,1263,1224,29.6,90,223,226,279,0.18,4707.5,-1.11
1.1,26.3,19.8,0,80,1.81,1,2851,1264,1225,29.6,90,223,226,282,0.18,4734.4,-1.09
1.2,26.2,19.9,0,80,1.81,1,2851,1264,1226,29.6,90,222,225,284,0.18,4743.8,-1.07
1.3,26.1,19.9,0,80,1.81,1,2850,1264,1228,29.6,90,222,225,287,0.18,4770.5,-1.06
1.4,26.1,19.9,0,80,1.81,1,2850,1264,1229,29.6,90,222,225,290,0.18,4797.2,-1.04
1.5,26.0,20.0,0,80,1.81,1,2850,1264,1230,29.6,90,221,224,292,0.18,4801.2,-1.03
1.6,25.9,20.0,0,80,1.81,1,2850,1264,1231,29.6,90,221,224,294,0.18,4822.4,-1.02
1.7,25.9,20.0,0,80,1.81,1,2850,1264,1233,29.6,90,220,224,297,0.18,4854.2,-1.01
1.8,25.8,20.0,0,80,1.81,1,2850,1265,1235,29.6,90,220,223,300,0.18,4863.4,-1.00
1.9,25.7,20.0,0,80,1.81,1,2850,1265,1236,29.6,90,220,223,303,0.18,4889.7,-0.99
2.0,25.7,19.4,0,80,1.81,1,2850,1265,1237,29.5,90,219,222,306,0.18,4898.8,-1.08
2.1,25.6,18.9,0,79,1.81,1,2850,1265,1239,29.5,90,219,222,308,0.18,4925.1,-1.15
2.2,25.5,18.4,0,79,1.81,1,2850,1265,1240,29.5,90,218,222,311,0.18,4951.2,-1.22
2.3,25.5,18.5,0,79,1.81,1,2850,1265,1241,29.5,90,218,221,313,0.18,4955.0,-1.19
2.4,25.4,18.6,0,79,1.81,1,2850,1265,1242,29.5,90,218,221,315,0.18,4975.8,-1.17
2.5,25.4,18.8,0,79,1.81,1,2850,1265,1244,29.5,90,217,221,318,0.18,5001.8,-1.14
2.6,25.3,18.8,0,79,1.81,1,2850,1266,1245,29.5,90,217,220,320,0.18,5010.7,-1.12
2.7,25.3,18.9,0,79,1.81,1,2850,1266,1247,29.5,90,217,220,324,0.18,5041.7,-1.10
2.8,25.2,19.0,0,79,1.81,1,2850,1266,1248,29.5,90,216,220,326,0.18,5067.5,-1.08
2.9,25.1,19.0,0,79,1.81,1,2850,1266,1249,29.5,90,216,219,329,0.18,5076.3,-1.06
3.0,25.1,19.1,0,79,1.81,1,2850,1266,1251,29.5,90,216,219,331,0.18,5096.8,-1.05
3.1,25.0,19.1,0,79,1.81,1,2850,1266,1252,29.5,90,215,219,334,0.18,5122.4,-1.04
3.2,25.0,19.1,0,79,1.81,1,2850,1266,1253,29.4,90,215,218,336,0.18,5131.1,-1.03
3.3,24.9,19.1,0,79,1.81,1,2850,1266,1254,29.4,90,214,218,339,0.18,5156.6,-1.02
3.4,24.9,19.1,0,79,1.81,1,2850,1267,1256,29.4,90,214,218,341,0.18,5182.1,-1.01
3.5,24.8,19.1,0,79,1.81,1,2850,1267,1257,29.4,90,214,217,343,0.18,5185.6,-1.00
3.6,24.7,19.1,0,79,1.81,1,2850,1267,1258,29.4,90,213,217,346,0.18,5210.9,-0.99
3.7,24.7,19.1,0,79,1.81,1,2850,1267,1260,29.4,90,213,217,349,0.18,5236.2,-0.98
3.8,24.6,19.1,0,79,1.81,1,2850,1267,1261,29.4,90,213,216,351,0.18,5244.7,-0.98
3.9,24.6,19.1,0,79,1.81,1,2850,1267,1262,29.4,90,212,216,354,0.18,5269.9,-0.97
4.0,24.5,19.1,0,79,1.81,1,2850,1267,1263,29.4,90,212,216,356,0.18,5289.9,-0.96
4.1,24.5,19.1,0,79,1.81,1,2850,1267,1264,29.4,90,212,215,358,0.18,5298.4,-0.96
4.2,24.4,19.1,0,79,1.81,1,2850,1268,1266,29.4,90,211,215,361,0.18,5323.4,-0.96
4.3,24.4,19.0,0,78,1.81,1,2850,1268,1267,29.4,90,211,215,364,0.18,5353.3,-0.95
4.4,24.3,19.0,0,78,1.81,1,2850,1268,1268,29.4,90,211,214,366,0.18,5356.7,-0.95
4.5,24.3,19.0,0,78,1.81,1,2850,1268,1269,29.4,90,210,214,368,0.18,5381.5,-0.95
4.6,24.2,19.0,0,78,1.81,1,2850,1268,1271,29.4,90,210,214,371,0.17,5406.3,-0.94
4.7,24.2,19.5,0,78,1.81,1,2850,1268,1272,29.4,90,210,214,374,0.17,5431.0,-0.85
4.8,84.8,20.0,0,231,2.34,1,3203,1522,1386,35.0,90,681,694,381,0.57,22317.5,-0.76
4.9,88.8,20.4,0,175,2.52,1,3520,1482,1015,38.1,90,687,700,388,0.57,22710.7,-0.69
5.0,92.4,914.4,0,64,2.46,1,3677,1328,330,41.2,90,686,699,397,0.57,22748.7,44.18
5.1,94.4,1719.0,0,162,2.21,1,3599,1266,801,43.3,90,686,699,407,0.57,22843.7,84.57
5.2,95.6,2443.1,0,134,2.00,1,3474,1230,644,43.5,90,685,699,417,0.57,22940.5,120.92
5.3,96.4,2208.4,0,76,1.90,1,3409,1204,361,43.0,90,684,699,427,0.57,23038.5,108.83
5.4,96.9,1997.2,0,84,1.87,1,3388,1191,394,43.4,90,684,699,435,0.57,23117.4,97.94
5.5,97.3,1807.2,0,115,1.81,1,3336,1179,532,44.4,90,684,699,445,0.57,23216.5,88.15
5.6,97.5,1634.4,0,88,1.77,1,3276,1171,406,44.3,90,683,698,455,0.57,23262.2,79.24
5.7,97.7,1478.9,0,93,1.76,1,3244,1172,426,44.9,90,683,698,465,0.57,23362.0,71.23
5.8,97.8,1338.9,0,103,1.74,1,3194,1169,471,45.3,90,682,698,476,0.57,23462.0,64.01
5.9,97.8,1213.0,0,81,1.73,1,3160,1172,372,45.2,90,681,697,486,0.57,23508.2,57.52
6.0,97.9,1099.6,0,96,1.74,1,3140,1176,445,45.9,90,681,698,494,0.57,23642.1,51.67
6.1,97.9,997.6,0,90,1.73,1,3099,1176,416,45.9,90,683,700,504,0.57,23850.2,46.41
6.2,98.2,911.3,0,76,1.74,1,3081,1184,353,46.1,90,682,699,514,0.57,23896.4,41.95
6.3,98.2,833.6,0,94,1.74,1,3053,1185,435,46.6,90,682,699,525,0.57,23996.6,37.94
6.4,98.2,763.7,0,75,1.74,1,3030,1186,350,46.4,90,681,699,533,0.57,24076.8,34.33
6.5,98.2,697.1,0,80,1.75,1,3020,1194,376,46.8,90,681,699,543,0.57,24177.0,30.90
6.6,98.1,637.2,0,88,1.75,1,2995,1193,411,47.0,90,680,699,553,0.57,24277.2,27.81
6.7,98.0,583.3,0,73,1.75,1,2982,1197,341,46.8,90,679,698,563,0.57,24323.5,25.03
6.8,98.0,533.0,0,88,1.76,1,2971,1201,415,47.3,90,679,698,574,0.57,24423.7,22.43
6.9,98.0,487.7,0,81,1.76,1,2953,1200,383,47.2,90,679,698,582,0.57,24503.8,20.10
7.0,98.0,446.9,0,74,1.77,1,2948,1206,348,47.2,90,678,698,592,0.57,24604.0,18.00
7.1,97.9,412.0,0,89,1.77,1,2936,1206,419,47.6,90,678,698,602,0.57,24704.2,16.20
7.2,97.9,380.6,0,73,1.77,1,2922,1207,346,47.4,90,679,700,612,0.57,24912.2,14.58
7.3,97.8,352.3,0,83,1.78,1,2922,1212,393,47.7,90,679,700,623,0.57,25012.3,13.12
7.4,97.9,330.5,0,85,1.77,1,2910,1210,401,47.8,90,679,700,631,0.57,25092.4,11.99
7.5,98.0,310.9,0,71,1.78,1,2905,1214,340,47.6,90,677,699,643,0.57,25158.7,10.98
7.6,98.0,293.3,0,82,1.78,1,2899,1215,392,47.9,90,677,699,653,0.57,25258.8,10.07
7.8,98.0,272.0,0,73,1.78,1,2889,1215,346,47.7,90,677,699,663,0.57,25358.9,8.97
7.9,98.0,252.7,0,74,1.79,1,2891,1219,353,47.9,90,676,699,672,0.57,25439.1,7.98
7.9,98.0,235.5,0,82,1.79,1,2887,1218,391,48.1,90,676,699,680,0.57,25519.2,7.09
8.0,97.9,219.9,0,71,1.79,1,2879,1218,340,47.8,90,675,698,692,0.57,25585.4,6.29
8.1,97.8,205.8,0,81,1.79,1,2881,1222,386,48.1,90,674,698,702,0.57,25685.6,5.57
8.2,97.8,193.2,0,81,1.79,1,2873,1219,388,48.1,90,674,698,710,0.57,25765.7,4.92
8.4,97.7,181.8,0,73,1.79,1,2872,1221,349,47.9,90,673,697,721,0.57,25812.0,4.33
8.5,98.0,171.6,0,78,1.80,1,2872,1224,375,48.2,90,675,699,731,0.57,26019.8,3.81
8.6,98.0,162.4,0,74,1.79,1,2864,1221,352,48.1,90,675,699,741,0.57,26119.8,3.33
8.7,98.0,159.6,0,71,1.80,1,2867,1225,340,48.1,90,674,699,751,0.57,26219.9,3.18
8.8,98.0,157.1,0,79,1.80,1,2866,1226,379,48.3,90,674,699,759,0.57,26300.0,3.05
8.9,98.0,154.8,0,72,1.80,1,2859,1224,344,48.1,90,674,699,770,0.57,26400.0,2.93
9.0,97.9,149.1,0,74,1.80,1,2864,1228,355,48.2,90,673,699,780,0.57,26500.1,2.63
9.1,97.9,144.0,0,79,1.80,1,2859,1226,379,48.3,90,672,699,790,0.57,26600.1,2.37
9.2,97.8,139.4,0,72,1.80,1,2858,1227,345,48.1,90,672,698,800,0.57,26646.3,2.13
9.3,97.8,133.4,0,80,1.80,1,2860,1229,384,48.3,90,671,698,810,0.57,26746.4,1.83
9.4,97.8,128.0,0,77,1.80,1,2856,1227,371,48.2,90,671,698,819,0.57,26826.4,1.55
9.5,97.8,123.2,0,74,1.80,1,2857,1229,356,48.2,90,670,698,829,0.57,26926.4,1.31
9.6,97.7,118.8,0,81,1.80,1,2857,1229,389,48.3,90,669,697,839,0.57,26972.6,1.08
9.7,97.7,114.9,0,76,1.80,1,2853,1228,363,48.2,90,671,700,849,0.58,27234.3,0.88
9.8,97.7,111.4,0,75,1.80,1,2856,1231,362,48.2,90,671,700,857,0.58,27314.3,0.70
9.9,97.7,115.5,0,81,1.80,1,2854,1230,389,48.3,90,671,700,867,0.58,27414.3,0.91
10.0,98.0,119.2,0,71,1.80,1,2852,1231,342,48.2,90,670,699,878,0.57,27460.4,1.10
10.1,97.9,122.5,0,77,1.80,1,2855,1233,371,48.3,90,669,699,888,0.57,27560.4,1.26
10.2,97.8,116.5,0,77,1.80,1,2852,1231,371,48.3,90,668,698,898,0.57,27606.6,0.96
10.3,97.9,111.0,0,72,1.80,1,2852,1232,346,48.2,90,669,699,906,0.57,27740.5,0.68
10.4,97.8,106.1,0,80,1.80,1,2854,1233,387,48.4,90,667,698,918,0.57,27806.7,0.43
10.5,97.9,105.2,0,75,1.80,1,2850,1232,364,48.3,90,667,698,927,0.57,27886.7,0.38
10.6,97.8,104.5,0,76,1.80,1,2854,1235,367,48.3,90,667,698,939,0.57,28006.8,0.35
10.7,97.8,103.8,0,80,1.80,1,2852,1234,388,48.4,90,666,698,947,0.57,28086.8,0.31
10.8,98.0,105.1,0,72,1.80,1,2850,1234,347,48.2,90,667,699,957,0.58,28240.8,0.37
10.9,98.1,106.2,0,74,1.80,1,2853,1236,357,48.3,90,667,699,967,0.58,28340.9,0.43
11.0,98.1,107.2,0,76,1.80,1,2851,1236,370,48.4,90,667,699,976,0.58,28421.0,0.48
11.1,98.0,106.3,0,73,1.80,1,2851,1236,351,48.3,90,666,699,988,0.58,28541.2,0.43
11.2,98.0,105.5,0,76,1.80,1,2853,1238,367,48.4,90,666,699,996,0.58,28621.3,0.39
11.3,98.0,104.7,0,76,1.80,1,2850,1236,369,48.4,90,665,699,1006,0.58,28721.5,0.35
11.4,98.0,102.2,0,74,1.80,1,2851,1238,358,48.3,90,665,698,1016,0.58,28767.8,0.22
11.5,98.0,100.0,0,77,1.80,1,2852,1238,376,48.4,90,664,698,1027,0.58,28867.9,0.11
11.6,97.9,97.9,0,76,1.80,1,2850,1237,371,48.3,90,663,698,1037,0.57,28968.2,0.00
11.7,98.0,97.9,0,74,1.80,1,2851,1239,360,48.3,90,664,698,1045,0.58,29048.3,0.00
11.8,98.0,98.0,0,79,1.80,1,2851,1239,382,48.4,90,663,698,1055,0.57,29148.6,0.00
11.9,98.0,98.0,0,76,1.80,1,2850,1238,367,48.3,90,662,698,1065,0.57,29248.8,0.00
12.0,97.9,101.6,0,78,1.80,1,2851,1240,377,48.4,90,664,700,1076,0.58,29456.9,0.18
12.1,98.2,104.8,0,75,1.80,1,2850,1240,365,48.4,90,663,699,1086,0.58,29503.2,0.35
12.2,98.2,107.8,0,74,1.80,1,2850,1240,357,48.4,90,663,699,1094,0.58,29583.4,0.50
12.3,98.2,105.0,0,74,1.80,1,2850,1241,360,48.4,90,663,699,1104,0.58,29683.7,0.36
12.4,98.1,102.5,0,76,1.80,1,2851,1241,369,48.4,90,662,699,1115,0.58,29784.0,0.23
12.5,98.1,100.3,0,75,1.80,1,2850,1242,362,48.4,90,661,699,1125,0.58,29884.2,0.12
12.6,98.0,98.2,0,78,1.80,1,2851,1242,378,48.4,90,660,698,1137,0.58,29950.7,0.01
12.7,98.0,96.4,0,78,1.80,1,2850,1242,378,48.4,90,660,698,1145,0.58,30030.9,-0.08
12.8,98.0,94.7,0,75,1.80,1,2850,1243,368,48.4,90,660,698,1155,0.58,30131.2,-0.17
12.9,97.9,93.2,0,79,1.80,1,2851,1243,385,48.4,90,659,697,1166,0.58,30177.6,-0.24
13.0,97.9,91.8,0,77,1.80,1,2849,1243,374,48.4,90,658,697,1176,0.58,30277.8,-0.31
13.1,98.0,90.6,0,76,1.80,1,2851,1244,370,48.4,90,661,700,1184,0.58,30519.7,-0.37
